年份,體系,條號/字號,定性,主題,重點說明,情境要件,法律效果
112,憲判,14,刑事-程序,法官迴避,曾參與前審裁判之定義,參與「更審前」之原審裁判，或參與「再審」之原確定判決,合憲（限縮解釋）：僅限於參與「下級審」之裁判，不包括同審級
86,憲判,443,憲法,法律保留,層級化法律保留體系,涉及人民權利之限制，依性質分為：憲法保留、絕對保留、相對保留、非保留,憲法基準：層級越高，授權明確性要求越嚴（如人身自由須法律定之）
,憲法,9,基本權,基本權,人身自由,平時非現役軍人原則不受軍事審判,憲法保障：保障平民受普通法院審判之權利
,憲法,23,基本權,基本權,比例原則與法律保留,限制人身自由等權利須為防止妨礙、增進公益等所必要,違憲審查標準：須符合：1.目的正當、2.手段適合、3.必要性、4.狹義比例性
109,釋字,793,政黨,政黨,黨產條例,處理政黨及其附隨組織不當取得財產,合憲：為轉型正義與公平競爭，黨產條例具有「不真正溯及既往」性質，屬轉型正義必要措施，未違反法律安定性與信賴保護
108,釋字,785,行政法／公務員保障,公務員勤休制度,公務員服勤、超勤、值班、待命等勤務制度，涉及健康權及服公職權保障，並應有司法救濟,"①公務員勤務時間、值班、待命、輪班等影響健康及權益
②勤務命令或勤休制度已具體影響其權利或法律上利益
③涉及工時、休息、超勤等重要事項","部分違憲／限期修法：
①勤休制度重要事項應以法律或法律明確授權規定（法律保留）
②勤務限制須符合比例原則並保障健康權
③公務員就勤務措施應有有效司法救濟途徑"
108,釋字,777,刑事-實體,肇事逃逸,刑法§185-4之合憲性,「肇事」是否包含「無過失」；刑度是否過重,部分違憲：1.「肇事」涵蓋無過失定義不明確；2.輕微案件最低刑期1年過重
106,釋字,752,刑事-程序,上訴三審,訴訟權保障,第一審無罪，第二審改判有罪，不得上訴第三審,違憲：剝奪人民至少一次接受上訴法院審理（救濟）之機會
102,釋字,709,行政程序,行政程序,都市更新程序,都更事業概要及計畫之審核，未經公開聽證,違憲：違反「程序正義」，應設置適當組織進行審議並舉辦聽證
93,釋字,582,刑事-程序,證據能力,共同被告不利己陳述,共同被告於偵查中之陳述，未經證人交互詰問,違憲：侵害被告之「憲法上對質詰問權」，屬傳聞證據原則排除
84,釋字,371,通用,通用,法官聲請釋憲權,各級法院法官於審理案件時，對所適用之法律確信有違憲疑慮,合憲：法官得裁定停止程序，聲請釋憲
76,釋字,216,行政程序,行政命令拘束力,法官獨立審判,司法院以外之機關所發布之命令，法官是否受其拘束,合憲解釋：法官得依法律獨立審判，不受行政命令之「見解」拘束
71,釋字,178,刑事-程序,法官迴避,刑訴法「前審」意涵,指同一案件之「下級審」曾參與裁判,合憲解釋：防止法官「自己審查自己」，保障訴訟當事人之公平審判權
70,釋字,168,刑事-程序,一事不再理（既判力）,判決效力,被告一犯罪事實已受確定判決，其效力及於全部,法律事實：同一行為不得重複受刑事處罰（Ne bis in idem）
62,釋字,137,行政程序,行政程序,法官受行政命令拘束,法官審判時，可否拒絕適用違法之行政命令,合憲：法官得依據法律，不受行政命令之不當干涉
88,釋字,469,國家賠償,保護規範理論,國家機關違法不作為是否成立國家賠償，應判斷該法規是否除維護公共利益外，亦有保護特定人民利益之目的。若法規具有保護特定人民利益之意旨，人民即得請求國家賠償,"①公務員依法執行職務而怠於執行或不作為
②違反保護規範
③該規範除公益外，兼具保護特定人民利益
④人民因此受有損害
⑤損害與違法不作為間具有因果關係",符合保護規範理論者，人民得依國家賠償法第2條第2項請求國家賠償；若僅屬反射利益（法規僅保護公益），則不得請求國家賠償
111,憲判,18,刑事-實體,沒收（相對總額原則）,,,不受罪刑法定原則拘束
