一、強制調解事件：（民事訴訟法第403條參照）,col_2
（一）不動產所有人或地上權人或其他利用不動產之人相互間因相鄰關係發生爭執者,二、例外：
（二）因定不動產之界線或設置界標發生爭執者, 前述強制調解事件，如有以下情形者，可例外不先經調解程序，直接進入審判程序（民事訴訟法第403條、第406條第1項）
（三）不動產共有人間因共有物之管理、處分或分割發生爭執者,（一）依法律關係之性質，當事人之狀況或其他情事可認為不能調解或顯無調解必要或調解顯無成立之望者
（四）建築物區分所有人或利用人相互間因建築物或其共同部分之管理發生爭執者,（二）經其他法定調解機關調解未成立者
（五）因增加或減免不動產之租金或地租發生爭執者,（三）因票據發生爭執者
（六）因定地上權之期間、範圍、地租發生爭執者,（四）係提起反訴者
（七）因道路交通事故或醫療糾紛發生爭執者,（五）送達於他造之通知書，應為公示送達或於外國為送達者
（八）雇用人與受雇人間因僱傭契約發生爭執者,（六）金融機構因消費借貸契約或信用卡契約有所請求者
（九）合夥人間或隱名合夥人與出名營業人間因合夥發生爭執者,
（十）配偶、直系親屬、四親等內之旁系血親、三親等內之旁系姻親、家長或家屬相互間因財產權發生爭執者,
（十一）其他因財產權發生爭執，其標的之金額或價額在新台幣五十萬元以下者,
